algorithm,r_size,median_total_time_sec,q1_total_time_sec,q3_total_time_sec,n_runs,timeout
BCNF-Index,1100,0.0025856000138446,0.0025127000117208,0.0026706000207923,25,False
BCNF-Index,11000,0.0292305000184569,0.0283926999836694,0.0308724000060465,25,False
BCNF-Index,110000,0.3091195999877527,0.3047687000071164,0.3115749999997206,25,False
BCNF-Index,1100000,3.3527101000072435,3.3210828000155743,3.395247299980838,25,False
FD-Hash,1100,0.0186095999961253,0.0180495000095106,0.0194472000002861,25,False
FD-Hash,11000,0.1861759999883361,0.1837666000064928,0.1889959999825805,25,False
FD-Hash,110000,1.9303005999827287,1.882079100003466,1.977809699979844,25,False
FD-Hash,1100000,19.692410800023936,19.62648760000593,19.788047300011385,25,False
Singleton-FullScan,1100,0.4873650000081397,0.4808936000044923,0.504326399997808,25,False
Singleton-FullScan,11000,48.89393000002019,48.59821309999097,49.96914080000715,25,False
Singleton-FullScan,110000,,,,5,True
Singleton-FullScan,1100000,,,,5,True
