algorithm,actual_nontrivial_fd_count,median_total_time_sec,q1_total_time_sec,q3_total_time_sec,n_runs_time,median_python_peak_mb,q1_python_peak_mb,q3_python_peak_mb,n_runs_mem,raw_fd_index_count,bcnf_index_count,compression_ratio
BCNF-Index,1,3.836080100008985,3.735278400010429,3.9256837999855634,25,133.7772979736328,133.77723693847656,133.77734375,25,1.0,1.0,0.0
BCNF-Index,2,4.030431099992711,3.4732661000161897,4.286902899999404,25,133.77730560302734,133.77729034423828,133.77735137939453,25,2.0,1.0,0.5
BCNF-Index,4,3.5074975000170525,3.416314700007206,3.5588025999895763,25,133.77730560302734,133.77725982666016,133.7773666381836,25,4.0,1.0,0.75
BCNF-Index,8,3.797282499988796,3.565985799999908,3.9544915000151377,25,133.77729034423828,133.77729034423828,133.7773666381836,25,8.0,1.0,0.875
BCNF-Index,15,3.5160350000078324,3.464468099991791,3.5979191999940667,25,133.7773666381836,133.77734375,133.7773895263672,25,15.0,1.0,0.9333333333333332
FD-Hash,1,7.220284300012281,7.081613100017421,7.545762299996568,25,225.33001708984372,225.32984161376956,225.33001708984372,25,1.0,1.0,0.0
FD-Hash,2,12.36330630001612,11.085052099981112,12.808314099995188,25,349.2534484863281,349.2533874511719,349.2534484863281,25,2.0,1.0,0.5
FD-Hash,4,20.62466040000436,20.479765199997928,22.0498963999853,25,597.1003112792969,597.1001892089844,597.1003112792969,25,4.0,1.0,0.75
FD-Hash,8,42.83405379997566,40.7409953000024,44.422800400003325,25,1123.3117370605469,1123.3116760253906,1123.3117370605469,25,8.0,1.0,0.875
FD-Hash,15,74.09513739999966,73.48189920000732,74.97294959999272,25,2097.587547302246,2097.58748626709,2097.587547302246,25,15.0,1.0,0.9333333333333332
