# panel_a: binned touched_block_entries vs latency
block_distribution,bin,median_touched_block_entries,median_incremental_total_time,q1_incremental_total_time,q3_incremental_total_time,n,panel
uniform,"(136.258, 200.0]",200.0,0.00020014995243395,0.00018087502394332502,0.000257324980339,500,a
uniform,"(1362.584, 2000.0]",2000.0,0.00157615001080555,0.00145420000626465,0.00176522500987625,500,a
uniform,"(13625.841, 20000.0]",20000.0,0.0137334000028204,0.0133853750012349,0.014837624985375426,500,a
zipf_1.2,"(1.999, 3.59]",2.0,3.850000211969018e-05,3.759999526664615e-05,3.99000127799809e-05,134,a
zipf_1.2,"(3.59, 6.442]",4.0,3.940000897273421e-05,3.809999907389283e-05,4.130000888835639e-05,279,a
zipf_1.2,"(6.442, 11.563]",8.0,4.225003067404032e-05,4.139996599406004e-05,4.4199987314641476e-05,34,a
zipf_1.2,"(11.563, 20.752]",14.0,4.4849992264062166e-05,4.302500747144222e-05,4.8100009735208005e-05,30,a
zipf_1.2,"(20.752, 37.246]",32.0,0.0001340000308118,0.000118424984975675,0.000169650011230175,70,a
zipf_1.2,"(37.246, 66.848]",48.0,0.0001516500196885,0.000126625032862575,0.0001760000013746,242,a
zipf_1.2,"(66.848, 119.977]",84.0,0.0001628000172786,0.0001400000182911,0.0001880000345408,93,a
zipf_1.2,"(119.977, 215.331]",150.0,0.0001896999892778,0.0001629000034881,0.00021184998331585,55,a
zipf_1.2,"(215.331, 386.471]",292.0,0.0002333000011276,0.00021929998183620002,0.00025749998167155,31,a
zipf_1.2,"(386.471, 693.628]",590.0,0.0009393999935127,0.0009035499679157001,0.0010095500038005,151,a
zipf_1.2,"(693.628, 1244.906]",896.0,0.0010691500065149,0.0010054499871330002,0.001128200019593325,196,a
zipf_1.2,"(1244.906, 2234.324]",1552.0,0.0013032999704591,0.00119310000445685,0.00141414998506655,99,a
zipf_1.2,"(2234.324, 4010.106]",2924.0,0.0018663000082597,0.0016941000067162999,0.0020660000009229,43,a
zipf_1.2,"(4010.106, 7197.233]",5472.0,0.00281849998282265,0.002442150012939175,0.00326250000944125,18,a
zipf_1.2,"(7197.233, 12917.404]",10490.0,0.0102836000151,0.00969814998097715,0.0110996499861357,191,a
zipf_1.2,"(12917.404, 23183.817]",16398.0,0.0126035999855957,0.011633000016445249,0.0133504999685101,191,a
zipf_1.2,"(23183.817, 41609.704]",28690.0,0.0168589999666437,0.01583160000154745,0.0183986999909393,79,a
zipf_1.2,"(41609.704, 74680.0]",50795.0,0.026727150019723853,0.0245720499806338,0.030466049996903152,64,a

# panel_b: batch_size vs speedup
block_distribution,batch_size,median_speedup,q1_speedup,q3_speedup,n_runs,panel
uniform,1,44278.16750700216,38613.87630310659,48977.18603736139,500,b
uniform,10,11382.020249368066,10482.142742782245,12671.838100753877,500,b
uniform,100,1450.4229801500853,1335.6283325833533,1555.9463340932175,500,b
uniform,1000,165.65973534388218,154.08434549365614,176.42425624779662,500,b
zipf_1.2,1,51703.46814620442,48086.60906339437,54690.676106008235,500,b
zipf_1.2,10,12407.640312143842,10656.925490333497,15391.05473057547,500,b
zipf_1.2,100,1888.4865788322008,1527.575968838501,2123.939529579361,500,b
zipf_1.2,1000,179.9575777554632,136.71398540893367,204.62460409245728,500,b
