experiment,param_value,median_FD_Hash_total_time_sec,median_BCNF_Index_total_time_sec,speedup_FD_over_BCNF,median_FD_Hash_python_peak_mb,median_BCNF_Index_python_peak_mb
A_conflict_ratio,0.01,20.05300559999887,3.06690219999291,6.538521378361927,597.1003112792969,133.7773666381836
A_conflict_ratio,0.05,21.52647270000307,3.5447472000087146,6.072780789544074,597.1003112792969,133.77730560302734
A_conflict_ratio,0.1,20.34240470000077,3.505607900005998,5.802818021937355,597.1002502441406,133.77730560302734
A_conflict_ratio,0.2,21.248840200016275,3.98372700001346,5.333909728238025,597.1003112792969,133.77725982666016
A_conflict_ratio,0.4,44.81899060000433,9.622931199992308,4.657519592371205,597.1002502441406,133.77730560302734
C_key_width,1,21.115073399996614,3.6074787999968976,5.8531385964110925,597.1003112792969,133.77725982666016
C_key_width,2,21.0382826999994,3.6352707000041846,5.787267149039322,619.9884948730469,141.40670013427734
C_key_width,4,22.671771699999223,3.9019842999987295,5.810318534599589,665.7648010253906,156.66542053222656
D_block_distribution,uniform,20.50388629999361,3.45641670000623,5.932122217774452,597.1002502441406,133.77730560302734
D_block_distribution,zipf_1.2,20.458173699997133,3.4416787999798544,5.944242588854277,597.1003112792969,133.77730560302734
