experiment,param_name,param_value,algorithm,n,seed,rep,conflict_ratio,fd_count,candidate_key_width,skew,deleted_count,raw_fd_index_count,bcnf_index_count,compression_ratio,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,result
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1,0,0.01,4,1,uniform,10000,4,1,0.75,4,18.576038500001232,0.07478809999884106,19.18649369999912,630.1335735321045,428.859375,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1,1,0.01,4,1,uniform,10000,4,1,0.75,4,18.23416179999913,0.07880990000012389,18.84402020000016,629.1002349853516,431.65234375,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1,2,0.01,4,1,uniform,10000,4,1,0.75,4,18.06842979999965,0.07829660000061267,18.675951399998667,629.1001739501953,433.0390625,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1,3,0.01,4,1,uniform,10000,4,1,0.75,4,18.55166250000002,0.07957139999962237,19.165001200000916,629.1002960205078,436.375,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1,4,0.01,4,1,uniform,10000,4,1,0.75,4,18.19030440000097,0.08148739999887766,18.800984499999686,629.1002349853516,437.72265625,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1,0,0.01,4,1,uniform,10000,4,1,0.75,1,2.373170699998809,0.6716981000008673,3.577073800001017,165.77794647216797,443.05078125,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1,1,0.01,4,1,uniform,10000,4,1,0.75,1,2.33829440000045,0.6664110000001529,3.5615354999990814,165.77764892578125,444.76953125,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1,2,0.01,4,1,uniform,10000,4,1,0.75,1,2.328483499999493,0.6869356000006519,3.5422693000000436,165.77758026123047,444.76953125,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1,3,0.01,4,1,uniform,10000,4,1,0.75,1,2.4066820000007283,0.6842245000007097,3.627172200000132,165.77757263183594,446.7890625,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1,4,0.01,4,1,uniform,10000,4,1,0.75,1,2.3656080000000657,0.6612024000005476,3.5765310999995563,165.7775650024414,447.7109375,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,2,0,0.01,4,1,uniform,10000,4,1,0.75,4,18.198363999999856,0.07750749999831896,18.819106299999476,629.1004638671875,437.33984375,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,2,1,0.01,4,1,uniform,10000,4,1,0.75,4,18.131948800000828,0.0782705999990867,18.783423300001232,629.1001739501953,440.2734375,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,2,2,0.01,4,1,uniform,10000,4,1,0.75,4,18.120644200000243,0.08096579999983078,18.736493899999914,629.1002960205078,443.48046875,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,2,3,0.01,4,1,uniform,10000,4,1,0.75,4,18.069585799999913,0.07818649999899208,18.71502209999926,629.1002349853516,445.68359375,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,2,4,0.01,4,1,uniform,10000,4,1,0.75,4,18.137060799999745,0.07681699999920966,18.782914999999775,629.1002960205078,446.68359375,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,2,0,0.01,4,1,uniform,10000,4,1,0.75,1,2.2771099000001414,0.6515262000011717,3.4489223000000493,165.77787017822266,452.95703125,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,2,1,0.01,4,1,uniform,10000,4,1,0.75,1,2.3077145000006567,0.6843083000003389,3.523350000001301,165.77759552001953,454.8046875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,2,2,0.01,4,1,uniform,10000,4,1,0.75,1,2.402400899998611,0.6701727999989089,3.58839799999987,165.77752685546875,454.8046875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,2,3,0.01,4,1,uniform,10000,4,1,0.75,1,2.371564600000056,0.6639617000000726,3.556674600000406,165.77751922607422,453.67578125,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,2,4,0.01,4,1,uniform,10000,4,1,0.75,1,2.3071932999991986,0.661117199999353,3.5269235000014305,165.7777862548828,534.625,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,3,0,0.01,4,1,uniform,10000,4,1,0.75,4,18.413569700000153,0.08230720000028668,19.04582880000089,629.1004638671875,445.921875,True
