/*algorithm,case_type,n,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout
Singleton-FullScan,pass,1000,1,0,0.1,4,1,100,0,0.0,0.4668031000001065,0.4848196000002645,0.8854961395263672,27.50390625,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,1,1,0.1,4,1,100,0,0.0,0.46977979999974195,0.4900072000000364,0.8854961395263672,27.38671875,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,1,2,0.1,4,1,100,0,0.0,0.4636200999993889,0.48131479999938165,0.8854961395263672,27.35546875,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,1,3,0.1,4,1,100,0,0.0,0.4822407999999996,0.50020559999939,0.8854961395263672,27.32421875,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,1,4,0.1,4,1,100,0,0.0,0.4694617000004655,0.48826240000016696,0.8854961395263672,27.25390625,0.8854961395263672,True,False
FD-Hash,pass,1000,1,0,0.1,4,1,100,4,0.017613399999390822,0.0008343999998032814,0.01876049999918905,1.1315288543701172,28.46875,1.1315288543701172,True,False
FD-Hash,pass,1000,1,1,0.1,4,1,100,4,0.016497000000526896,0.000694800000928808,0.01751909999984491,0.6031417846679688,28.46875,0.6031417846679688,True,False
FD-Hash,pass,1000,1,2,0.1,4,1,100,4,0.017116600000008475,0.0007439000000886153,0.018142300001272815,0.603118896484375,28.0703125,0.603118896484375,True,False
FD-Hash,pass,1000,1,3,0.1,4,1,100,4,0.01768609999999171,0.0007076999991113553,0.018696999999519903,0.603118896484375,28.0703125,0.603118896484375,True,False
FD-Hash,pass,1000,1,4,0.1,4,1,100,4,0.017837700001109624,0.0007800000003044261,0.01890350000030594,0.603118896484375,28.0703125,0.603118896484375,True,False
BCNF-Index,pass,1000,1,0,0.1,4,1,100,1,0.0022563000002264744,0.005674800000633695,0.008135600000969134,0.154754638671875,28.1953125,0.154754638671875,True,False
BCNF-Index,pass,1000,1,1,0.1,4,1,100,1,0.0019250000004831236,0.0052586000001610955,0.007373099999313126,0.15474700927734375,28.1953125,0.15474700927734375,True,False
BCNF-Index,pass,1000,1,2,0.1,4,1,100,1,0.0020375000003696186,0.005912599999646773,0.008135599999150145,0.1547393798828125,28.1953125,0.1547393798828125,True,False
BCNF-Index,pass,1000,1,3,0.1,4,1,100,1,0.001952000000528642,0.00540999999975611,0.0075694999995903345,0.15473175048828125,28.1953125,0.15473175048828125,True,False
BCNF-Index,pass,1000,1,4,0.1,4,1,100,1,0.0022800999995524762,0.005882499999643187,0.008377800000744173,0.15472412109375,28.1953125,0.15472412109375,True,False
Singleton-FullScan,fail,1000,1,0,0.1,4,1,101,0,0.0,0.06800040000052832,0.08605750000060652,0.719813346862793,27.2578125,0.719813346862793,False,False
Singleton-FullScan,fail,1000,1,1,0.1,4,1,101,0,0.0,0.18738309999935154,0.2051064999996015,0.8855772018432617,27.5546875,0.8855772018432617,False,False
Singleton-FullScan,fail,1000,1,2,0.1,4,1,101,0,0.0,0.021468700000696117,0.040012300001762924,0.719813346862793,27.453125,0.719813346862793,False,False
Singleton-FullScan,fail,1000,1,3,0.1,4,1,101,0,0.0,0.26416840000092634,0.28203709999979765,0.8855772018432617,27.5625,0.8855772018432617,False,False
Singleton-FullScan,fail,1000,1,4,0.1,4,1,101,0,0.0,0.4746673000008741,0.4932859999989887,0.8855772018432617,27.203125,0.8855772018432617,False,False
FD-Hash,fail,1000,1,0,0.1,4,1,101,4,0.01620059999913792,0.0006826999997429084,0.017118999998274376,0.6033782958984375,28.45703125,0.6033782958984375,False,False
FD-Hash,fail,1000,1,1,0.1,4,1,101,4,0.01788489999853482,0.0006470999996963656,0.018800399999236106,0.603118896484375,28.18359375,0.603118896484375,False,False
