diag,mode,conflict_ratio,r_size,r_prime_size,deleted_count,rep,algorithm,check_time_sec,total_time_sec,wall_sec,is_repair,certificate_entries,code_version
A,decision,0.01,1010000,1000000,10000,0,FD-Hash,0.38871670002117753,5.293698199995561,5.4868519000010565,True,,68869e6
A,decision,0.01,1010000,1000000,10000,0,BCNF-Index,0.3874114000063855,1.3517663999809884,1.3858405000064522,True,,68869e6
A,decision,0.05,1050000,1000000,50000,0,FD-Hash,0.4546216999879107,5.344496000005165,5.538967300002696,True,,68869e6
A,decision,0.05,1050000,1000000,50000,0,BCNF-Index,0.3904504999809433,1.3503677000117023,1.383001799986232,True,,68869e6
A,decision,0.1,1100000,1000000,100000,0,FD-Hash,0.49986330000683665,5.350801200023852,5.541194399993401,True,,68869e6
A,decision,0.1,1100000,1000000,100000,0,BCNF-Index,0.439127899997402,1.4292816999950446,1.4624866000085603,True,,68869e6
A,certificate,0.1,1100000,1000000,100000,0,BCNF-Index,0.6973948999948334,1.686963799991645,1.702576500014402,True,100000,68869e6
A,decision,0.2,1200000,1000000,200000,0,FD-Hash,0.6690599999856204,5.784233500016853,5.9822572999983095,True,,68869e6
A,decision,0.2,1200000,1000000,200000,0,BCNF-Index,0.5487214000022504,1.6234710999997333,1.6579631999775302,True,,68869e6
A,decision,0.4,1400000,1000000,400000,0,FD-Hash,0.9651280000107363,6.05966380002792,6.258475599985104,True,,68869e6
A,decision,0.4,1400000,1000000,400000,0,BCNF-Index,0.7091736999864224,1.794922500004759,1.8287046999903396,True,,68869e6
