workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size
swap,1,0,uniform,,110000,110000,100000,110000,100000,10000,42,5.2400020649656653e-05,4.1000021155923605e-06,0.18652879999717698,0.18653289999929257,3559.786765093857,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,1,uniform,,110000,110000,100000,110000,100000,10000,42,5.830000736750662e-05,4.8999791033566e-06,0.2083969000086654,0.20840179998776875,3574.644488019757,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,2,uniform,,110000,110000,100000,110000,100000,10000,42,3.0800001695752144e-05,2.4999899324029684e-06,0.1875544000067748,0.18755689999670722,6089.509404883395,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,3,uniform,,110000,110000,100000,110000,100000,10000,42,3.1400006264448166e-05,2.5199988158419728e-05,0.21071200000005774,0.21073719998821616,6711.37445685219,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,4,uniform,,110000,110000,100000,110000,100000,10000,42,4.1000021155923605e-05,3.200024366378784e-06,0.19921809999505058,0.19922130001941696,4859.053590771961,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,5,uniform,,110000,110000,100000,110000,100000,10000,42,4.189999890513718e-05,3.0999945010989904e-06,0.19270109999342822,0.19270419998792931,4599.145704614867,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,6,uniform,,110000,110000,100000,110000,100000,10000,42,3.6900019040331244e-05,3.400025889277458e-06,0.20350559998769313,0.2035090000135824,5515.146206053436,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,7,uniform,,110000,110000,100000,110000,100000,10000,42,4.569999873638153e-05,3.1999952625483274e-06,0.1920797000057064,0.19208290000096895,4203.1270308997355,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,8,uniform,,110000,110000,100000,110000,100000,10000,42,5.299999611452222e-05,7.800001185387373e-06,0.19513969999388792,0.1951474999950733,3682.02857172667,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,9,uniform,,110000,110000,100000,110000,100000,10000,42,5.5599986808374524e-05,3.6999990697950125e-06,0.19426720001501963,0.19427090001408942,3494.0817645091265,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,10,uniform,,110000,110000,100000,110000,100000,10000,42,5.040000542066991e-05,3.0999945010989904e-06,0.1935585000028368,0.1935615999973379,3840.5075233971097,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,11,uniform,,110000,110000,100000,110000,100000,10000,42,4.5199994929134846e-05,3.7999998312443495e-06,0.1950195000099484,0.19502330000977963,4314.675263029117,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,12,uniform,,110000,110000,100000,110000,100000,10000,42,3.2199983252212405e-05,2.800021320581436e-06,0.18940259999362752,0.1894054000149481,5882.158339381571,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,13,uniform,,110000,110000,100000,110000,100000,10000,42,6.3000014051795e-05,3.700028173625469e-06,0.18800380002357997,0.1880075000517536,2984.245366948404,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,14,uniform,,110000,110000,100000,110000,100000,10000,42,3.530000685714185e-05,2.4999899324029684e-06,0.1976827000034973,0.1976851999934297,5600.146220748801,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,1,15,uniform,,110000,110000,100000,110000,100000,10000,42,4.270000499673188e-05,2.800021320581436e-06,0.19587999998475425,0.19588280000607483,4587.418667071985,20,2,2,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
