workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version
d_only,1,0,uniform,,1100000,1099999,1000000,1099999,1000000,99999,1,3.200001083314419e-05,3.3999967854470015e-06,2.378701199981151,2.3787045999779366,74334.49358442654,0,0,10000,9.9999,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,1,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,2.3800006601959467e-05,2.200016751885414e-06,2.0664564999751747,2.0664586999919266,86825.9717130412,0,0,10000,9.9998,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,2,uniform,,1100000,1099999,1000000,1099999,1000000,99999,1,3.4900003811344504e-05,2.1999876480549574e-06,2.1276128999888897,2.1276150999765377,60963.17672277562,0,0,10001,9.998900109989002,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,3,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,3.0199997127056122e-05,2.4999899324029684e-06,1.99949360001483,1.9994961000047624,66208.48643106053,0,0,10001,9.998800119988001,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,4,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.5100016500800848e-05,2.3999891709536314e-06,2.3350665000034496,2.3350688999926206,93030.57230731769,0,0,10001,9.998700129987002,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,5,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.61999957729131e-05,3.2999960239976645e-06,2.064255499979481,2.064258799975505,78788.51652753478,0,0,10001,9.998600139986001,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,6,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.8900016332045197e-05,2.3999891709536314e-06,2.1934020000044256,2.1934043999935966,75896.30312981812,0,0,10002,9.99770045990802,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,7,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,2.600002335384488e-05,1.8999853637069464e-06,2.3468452999950387,2.3468471999804024,90263.27276868968,0,0,10003,9.996800959712086,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,8,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.8099981136620045e-05,1.500011421740055e-06,2.1179621999908704,2.117963700002292,75372.42426266795,0,0,10003,9.99670098970309,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,9,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.3200002033263445e-05,2.300017513334751e-06,2.2091205999895465,2.20912290000706,95220.80631026186,0,0,10003,9.996601019694092,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,10,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,3.3100019209086895e-05,2.3999891709536314e-06,2.0883911999990232,2.088393599988194,63093.425619972775,0,0,10004,9.995701719312276,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,11,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,5.370000144466758e-05,5.0000089686363935e-06,2.2011594000214245,2.201164400030393,40990.02496859279,0,0,10004,9.995601759296282,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,12,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.9099988751113415e-05,1.800013706088066e-06,2.048921199981123,2.0489229999948293,70409.75230330403,0,0,10005,9.994702648675663,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,13,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.3200002033263445e-05,1.6999838408082724e-06,2.062188000010792,2.062189699994633,88887.47927857633,0,0,10005,9.994602698650676,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,14,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,2.400000812485814e-05,1.7999846022576094e-06,2.3611961000133306,2.361197899997933,98383.21252701199,0,0,10005,9.994502748625687,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,15,uniform,,1100000,1099994,1000000,1099994,1000000,99994,1,2.8300011763349175e-05,1.9000144675374031e-06,2.029506799997762,2.0295087000122294,71714.05853055541,0,0,10005,9.9944027986007,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,16,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,4.8699992476031184e-05,2.9999937396496534e-06,2.1192366000032052,2.119239599996945,43516.2202753928,0,0,10006,9.993503897661403,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,17,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,6.699998630210757e-05,3.0999945010989904e-06,2.178123800025787,2.1781269000202883,32509.363363135082,0,0,10007,9.992605176376536,10.0,10.0,10.0,10,1,True,True,True,3b86002
