workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version
d_only,1,0,uniform,,11000,11001,10000,11001,10000,1001,1,9.200011845678091e-06,1.5999830793589354e-06,0.011239799991017208,0.011241399974096566,1221.8897282591504,0,0,101,9.910891089108912,10.0,10.0,10.0,10,1,True,True,True,68869e6
d_only,1,1,uniform,,11000,11002,10000,11002,10000,1002,1,1.5199999324977398e-05,2.5999906938523054e-06,0.010915599996224046,0.010918199986917898,718.3026626176598,0,0,102,9.823529411764707,10.0,10.0,10.0,10,1,True,True,True,68869e6
d_only,1,2,uniform,,11000,11003,10000,11003,10000,1003,1,8.799979696050286e-06,1.200009137392044e-06,0.009448400000110269,0.00944960000924766,1073.82066046004,0,0,103,9.737864077669903,10.0,10.0,10.0,10,1,True,True,True,68869e6
d_only,1,3,uniform,,11000,11004,10000,11004,10000,1004,1,8.99998121894896e-06,1.200009137392044e-06,0.010396900004707277,0.010398100013844669,1155.3468569414397,0,0,104,9.653846153846153,10.0,10.0,10.0,10,1,True,True,True,68869e6
d_only,1,4,uniform,,11000,11003,10000,11003,10000,1003,1,1.1500000255182385e-05,1.8999853637069464e-06,0.011062300007324666,0.011064199992688373,962.104325841417,0,0,104,9.64423076923077,10.0,10.0,10.0,10,1,True,True,True,68869e6
d_only,10,0,uniform,,11000,11006,10000,11006,10000,1006,1,2.81000102404505e-05,5.399982910603285e-06,0.01135640000575222,0.011361799988662824,404.33437181838804,0,0,107,9.401869158878505,10.0,10.0,10.0,11,10,True,True,True,68869e6
d_only,10,1,uniform,,11000,11012,10000,11012,10000,1012,1,2.859998494386673e-05,5.4000120144337416e-06,0.010305699979653582,0.010311099991668016,360.52816153244976,0,0,115,8.8,10.0,10.0,10.0,11,10,True,True,True,68869e6
d_only,10,2,uniform,,11000,11014,10000,11014,10000,1014,1,2.6699999580159783e-05,5.699985194951296e-06,0.010341200017137453,0.010346900002332404,387.5243507502139,0,0,121,8.380165289256198,10.0,10.0,10.0,11,10,True,True,True,68869e6
d_only,10,3,uniform,,11000,11016,10000,11016,10000,1016,1,3.86999745387584e-05,7.499998901039362e-06,0.00945120002143085,0.00945870002033189,244.4110140397873,0,0,127,8.0,10.0,10.0,10.0,11,10,True,True,True,68869e6
d_only,10,4,uniform,,11000,11022,10000,11022,10000,1022,1,4.7600013203918934e-05,7.599999662488699e-06,0.00914599999669008,0.009153599996352568,192.30246758836924,0,0,135,7.57037037037037,10.0,10.0,10.0,11,10,True,True,True,68869e6
d_only,100,0,uniform,,11000,10988,10000,10988,10000,988,1,0.00015520001761615276,3.850000211969018e-05,0.010332999983802438,0.010371499985922128,66.826667581787,0,0,142,6.957746478873239,9.0,10.0,10.0,11,100,True,True,True,68869e6
d_only,100,1,uniform,,11000,10956,10000,10956,10000,956,1,0.0001914000022225082,4.019998596049845e-05,0.00971330000902526,0.00975349999498576,50.95872456494032,0,0,172,5.558139534883721,8.0,10.0,10.0,10,100,True,True,True,68869e6
d_only,100,2,uniform,,11000,10956,10000,10956,10000,956,1,0.00030759998480789363,6.710001616738737e-05,0.011032799986423925,0.011099900002591312,36.08550244085209,0,0,214,4.4672897196261685,1.0,10.0,10.0,10,100,True,True,True,68869e6
d_only,100,3,uniform,,11000,10966,10000,10966,10000,966,1,0.00021979998564347625,5.9900019550696015e-05,0.010565000004135072,0.010624900023685768,48.33894776007743,0,0,261,3.7011494252873565,1.0,9.0,10.0,10,100,True,True,True,68869e6
d_only,100,4,uniform,,11000,10948,10000,10948,10000,948,1,0.0002227999793831259,5.530001362785697e-05,0.009388400008901954,0.00944370002252981,42.38644926573563,0,0,293,3.2354948805460753,1.0,9.0,9.079999999999984,10,100,True,True,True,68869e6
swap,1,0,uniform,,11000,11000,10000,11000,10000,1000,1,2.7400004910305142e-05,2.7999922167509794e-06,0.011162100010551512,0.011164900002768263,407.4780292674015,20,2,100,10.0,10.0,10.0,10.0,10,2,True,True,True,68869e6
swap,1,1,uniform,,11000,11000,10000,11000,10000,1000,1,3.0099996365606785e-05,3.1999952625483274e-06,0.009466599993174896,0.009469799988437444,314.6113332843435,20,2,100,10.0,10.0,10.0,10.0,10,2,True,True,True,68869e6
swap,1,2,uniform,,11000,11000,10000,11000,10000,1000,1,2.579999272711575e-05,3.0999945010989904e-06,0.010209000000031665,0.010212099994532764,395.81794082445083,20,2,100,10.0,10.0,10.0,10.0,10,2,True,True,True,68869e6
swap,1,3,uniform,,11000,11000,10000,11000,10000,1000,1,2.5699991965666413e-05,2.0999868866056204e-06,0.010682699998142198,0.010684799985028803,415.75110215221196,20,2,100,10.0,10.0,10.0,10.0,10,2,True,True,True,68869e6
swap,1,4,uniform,,11000,11000,10000,11000,10000,1000,1,3.220001235604286e-05,2.7999922167509794e-06,0.009942700009560212,0.009945500001776963,308.86634116183893,20,2,100,10.0,10.0,10.0,10.0,10,2,True,True,True,68869e6
swap,10,0,uniform,,11000,11000,10000,11000,10000,1000,1,0.000148899998748675,7.700000423938036e-06,0.010363599983975291,0.01037129998439923,69.65278758601413,200,20,100,10.0,10.0,10.0,10.0,10,20,True,True,True,68869e6
swap,10,1,uniform,,11000,11000,10000,11000,10000,1000,1,0.0001188000023830682,1.0499992640689015e-05,0.011249400005908683,0.011259899998549372,94.78030111684723,200,20,100,10.0,10.0,10.0,10.0,10,20,True,True,True,68869e6
swap,10,2,uniform,,11000,11000,10000,11000,10000,1000,1,0.00016120000509545207,1.2200005585327744e-05,0.010399199993116781,0.010411399998702109,64.5868465856261,200,20,100,10.0,10.0,10.0,10.0,10,20,True,True,True,68869e6
swap,10,3,uniform,,11000,11000,10000,11000,10000,1000,1,0.00012700000661425292,1.1500000255182385e-05,0.010959100007312372,0.010970600007567555,86.38267272606858,200,20,100,10.0,10.0,10.0,10.0,10,20,True,True,True,68869e6
swap,10,4,uniform,,11000,11000,10000,11000,10000,1000,1,0.00013729999773204327,1.3100012438371778e-05,0.011435199994593859,0.01144830000703223,83.38164745912745,200,20,100,10.0,10.0,10.0,10.0,10,20,True,True,True,68869e6
swap,100,0,uniform,,11000,11000,10000,11000,10000,1000,1,0.0009267999848816544,6.849999772384763e-05,0.009302400023443624,0.009370900021167472,10.111027378106904,2000,200,100,10.0,10.0,10.0,10.0,10,200,True,True,True,68869e6
