experiment,param_name,param_value,algorithm,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,requested_fd_count,actual_nontrivial_fd_count,candidate_key_width,block_distribution,zipf_alpha,deleted_count,active_block_count,mean_deleted_block_size,max_deleted_block_size,raw_fd_index_count,bcnf_index_count,compression_ratio,index_count,validation_time_sec,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,result,candidate_consistent,code_version
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000,1010,1010,1000,1,0,0.01,4,4,4,1,uniform,,10,1,10.0,10,4,1,0.75,4,0.0001112000027205795,0.018901100003859028,0.00024390002363361418,0.01928440001211129,1.3007736206054688,26.53515625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000,1010,1010,1000,1,0,0.01,4,4,4,1,uniform,,10,1,10.0,10,4,1,0.75,1,0.00013500000932253897,0.002407899999525398,0.00012470001820474863,0.002676799980690703,0.1212158203125,26.57421875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000,1050,1050,1000,1,0,0.05,4,4,4,1,uniform,,50,5,10.0,10,4,1,0.75,4,8.869997691363096e-05,0.023150699998950586,0.000530699995579198,0.023789099999703467,0.56964111328125,26.62890625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000,1050,1050,1000,1,0,0.05,4,4,4,1,uniform,,50,5,10.0,10,4,1,0.75,1,0.00012710000737570226,0.0023099000100046396,0.000288200011709705,0.0027307000127620995,0.121063232421875,26.5,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,1000,1100,1100,1000,1,0,0.1,4,4,4,1,uniform,,100,10,10.0,10,4,1,0.75,4,9.699998190626502e-05,0.018741600011708215,0.0010886999953072518,0.01994530000956729,0.56964111328125,26.62890625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,1000,1100,1100,1000,1,0,0.1,4,4,4,1,uniform,,100,10,10.0,10,4,1,0.75,1,0.00015739997616037726,0.0024465000024065375,0.0005103999865241349,0.003122199996141717,0.1210479736328125,26.56640625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.2,FD-Hash,1000,1200,1200,1000,1,0,0.2,4,4,4,1,uniform,,200,20,10.0,10,4,1,0.75,4,9.40999889280647e-05,0.01833609997993335,0.002027999988058582,0.020476300007430837,0.5703125,26.5703125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.2,BCNF-Index,1000,1200,1200,1000,1,0,0.2,4,4,4,1,uniform,,200,20,10.0,10,4,1,0.75,1,0.00018110001110471785,0.002273400023113936,0.0008613000100012869,0.003321299998788163,0.1211395263671875,26.4140625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.4,FD-Hash,1000,1400,1400,1000,1,0,0.4,4,4,4,1,uniform,,400,40,10.0,10,4,1,0.75,4,0.00014590000500902534,0.020092499995371327,0.0035617999965325,0.023819399997591972,0.56964111328125,26.63671875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.4,BCNF-Index,1000,1400,1400,1000,1,0,0.4,4,4,4,1,uniform,,400,40,10.0,10,4,1,0.75,1,0.00018350000027567148,0.002073499985272065,0.001719699997920543,0.003981499990914017,0.1884765625,26.73046875,True,True,68869e6
