algorithm,case_type,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout,code_version
Singleton-FullScan,pass,1000,1100,1100,1000,1,0,0.1,4,1,100,0,0.0,0.4679123999958392,0.4859785999869928,0.9091558456420898,26.84375,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,1,1,0.1,4,1,100,0,0.0,0.44508720000158064,0.4633355000114534,0.9090681076049805,26.8515625,0.9090681076049805,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,1,2,0.1,4,1,100,0,0.0,0.4524935999943409,0.47294390000752173,0.9091558456420898,26.65234375,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,1,3,0.1,4,1,100,0,0.0,0.4518577999842819,0.46982719999505207,0.9091558456420898,26.6875,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,1,4,0.1,4,1,100,0,0.0,0.44860050000716,0.46595189999789,0.9090681076049805,26.74609375,0.9090681076049805,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,1,0,0.1,4,1,100,4,0.016547399980481714,0.0007760000007692724,0.017453700012993068,1.1016874313354492,27.78125,1.1016874313354492,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,1,1,0.1,4,1,100,4,0.016188400011742488,0.0008331999997608364,0.017138299997895956,0.56964111328125,27.78125,0.56964111328125,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,1,2,0.1,4,1,100,4,0.01700269998400472,0.0008902000263333321,0.018049500009510666,0.5696182250976562,27.640625,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,1,3,0.1,4,1,100,4,0.017022399988491088,0.000985699996817857,0.01814649999141693,0.5696182250976562,27.640625,0.5696182250976562,True,False,68869e6
FD-Hash,pass,1000,1100,1100,1000,1,4,0.1,4,1,100,4,0.016497300006449223,0.0007719999994151294,0.017409099993528798,0.5696182250976562,27.65234375,0.5696182250976562,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,1,0,0.1,4,1,100,1,0.001990199991269037,0.00042910000775009394,0.002510899998014793,0.12100982666015625,27.76953125,0.12100982666015625,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,1,1,0.1,4,1,100,1,0.0018723999965004623,0.00041259999852627516,0.002373099996475503,0.1210479736328125,27.78515625,0.1210479736328125,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,1,2,0.1,4,1,100,1,0.0019053999858442694,0.0004530999867711216,0.002441000018734485,0.12104034423828125,27.7890625,0.12104034423828125,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,1,3,0.1,4,1,100,1,0.002112299989676103,0.00044579998939298093,0.002644199994392693,0.12103271484375,27.7890625,0.12103271484375,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,1,4,0.1,4,1,100,1,0.0020505999855231494,0.00045510000200010836,0.0026063000259455293,0.12102508544921875,27.7890625,0.12102508544921875,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,2,0,0.1,4,1,100,0,0.0,0.4722333000099752,0.4905404000019189,0.9091558456420898,26.86328125,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,2,1,0.1,4,1,100,0,0.0,0.45705689999158494,0.4760398000071291,0.9090681076049805,26.80078125,0.9090681076049805,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,2,2,0.1,4,1,100,0,0.0,0.5510270999802742,0.5710562000167556,0.9091558456420898,26.76953125,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,2,3,0.1,4,1,100,0,0.0,0.4874167999951169,0.5076225000084378,0.9091558456420898,26.84375,0.9091558456420898,True,False,68869e6
Singleton-FullScan,pass,1000,1100,1100,1000,2,4,0.1,4,1,100,0,0.0,0.49696329998550937,0.5155787999974564,0.9090681076049805,26.87890625,0.9090681076049805,True,False,68869e6
