workload,batch_size,block_distribution,median_incremental_total_time,mean_incremental_total_time,std_incremental_total_time,p25_incremental_total_time,p75_incremental_total_time,median_static_total_time,mean_static_total_time,speedup_median_static_over_median_inc,median_touched_block_entries,mean_touched_block_entries,n_runs
d_only,1,uniform,2.8950016712769866e-05,2.990059950388968e-05,6.673984184941428e-06,2.5500019546598196e-05,3.220001235604286e-05,2.114075250006863,2.226773813799373,73025.00965653479,0.0,0.0,500
d_only,1,zipf_1.2,2.8300040867179632e-05,3.015680133830756e-05,6.990623697337271e-06,2.5775021640583873e-05,3.270001616328955e-05,2.0834657500090543,2.225335019400169,73620.5915668945,0.0,0.0,500
d_only,10,uniform,6.915000267326832e-05,7.494079996831715e-05,1.888486341529861e-05,6.059999577701092e-05,8.582501322962344e-05,2.101805649988819,2.357247926198819,30394.8744574861,0.0,0.0,500
d_only,10,zipf_1.2,8.55499820318073e-05,8.38771995040588e-05,2.295392923146191e-05,6.455000402638689e-05,9.545001375954598e-05,2.0573571499990067,2.0870218708026225,24048.598271289942,0.0,0.0,500
d_only,100,uniform,0.00041449999844189733,0.00044872060138732194,0.00022837865336382265,0.00034677499934332445,0.0004868000032729469,2.1904982999985805,2.5772354162001867,5284.67625629107,0.0,0.0,500
d_only,100,zipf_1.2,0.0003493499825708568,0.0003709027997101657,7.978488353946733e-05,0.00031365000177174807,0.00039997498970478773,2.0548549499944784,2.0857377710010043,5881.938034955256,0.0,0.0,500
d_only,1000,uniform,0.0033269499836023897,0.007675594599859324,0.03258522319847239,0.0030419750037253834,0.004180374991847202,2.2379929500166327,2.5921192424003965,672.6860821614623,0.0,0.0,500
d_only,1000,zipf_1.2,0.003089349964284338,0.005405122397933155,0.021514545053545945,0.0029078499792376533,0.0034384000318823382,2.078832950021024,2.1017014340013267,672.9030294573943,0.0,0.0,500
swap,1,uniform,5.460000829771161e-05,5.8246998116374014e-05,1.6401368439873094e-05,4.930001887260005e-05,5.994999082759023e-05,2.179980600034469,2.5653824984013918,39926.378548294764,20.0,20.0,500
swap,1,zipf_1.2,3.960001049563289e-05,4.505860019708052e-05,3.972859267635057e-05,3.809999907389283e-05,4.310001531848684e-05,2.0568337500444613,2.1041218333996947,51940.232446940645,4.0,14.804,500
swap,10,uniform,0.00020014995243400335,0.00022367819934152066,5.671996158055933e-05,0.00018087502394337207,0.0002573249803390354,2.1796043000213103,2.565553456200694,10889.85669751785,200.0,200.0,500
swap,10,zipf_1.2,0.0001680999994277954,0.0002699702012469061,0.000996428421154949,0.00013305002357810736,0.00019172500469721854,2.054062499999418,2.0814747187984177,12219.289155213273,58.0,342.432,500
swap,100,uniform,0.001576150010805577,0.0017086202005157248,0.00040294868237072013,0.0014542000062647276,0.0017652250098763034,2.1730978999694344,2.4836718722010844,1378.7379913532181,2000.0,2000.0,500
swap,100,zipf_1.2,0.0011085000005550683,0.0014613928002654576,0.0012875252740167165,0.0009864250023383647,0.0013520749926101416,2.0640860499988776,2.117528213399521,1862.053269251521,943.0,1887.656,500
swap,1000,uniform,0.013733400002820417,0.016540047599643004,0.006299300765106129,0.013385375001234934,0.014837624985375442,2.2724855999986175,2.8474372015986593,165.47144913363908,20000.0,20000.0,500
swap,1000,zipf_1.2,0.012531850006780587,0.014682996200455819,0.005901132880085621,0.010810424981173128,0.016363450020435266,2.2085604000021704,2.2536691534012787,176.23578312916194,15356.0,21078.868,500
