algorithm,case_type,n,r_size,median_total_time,mean_total_time,std_total_time,p25_total_time,p75_total_time,median_python_peak_mb,speedup_vs_fd_hash_median,n_runs,timeout
BCNF-Index,pass,1100,1100,0.002585600013844669,0.002600752001162618,0.00014630808341653428,0.002512700011720881,0.0026706000207923353,0.1209259033203125,7.197400950061763,25,False
BCNF-Index,pass,11000,11000,0.02923050001845695,0.029698692001402377,0.0017202575341370072,0.028392699983669445,0.03087240000604652,1.364898681640625,6.369237606978308,25,False
BCNF-Index,pass,110000,110000,0.30911959998775274,0.3087003839982208,0.004122810481295753,0.3047687000071164,0.3115749999997206,15.578521728515625,6.244510539154448,25,False
BCNF-Index,pass,1100000,1100000,3.3527101000072435,3.3582028799992987,0.044734011865481996,3.3210828000155743,3.395247299980838,133.77725982666016,5.873579943575018,25,False
FD-Hash,pass,1100,1100,0.018609599996125326,0.01872647999902256,0.0010346628623283177,0.018049500009510666,0.019447200000286102,0.5696182250976562,,25,False
FD-Hash,pass,11000,11000,0.18617599998833612,0.18686918799648994,0.00463205112981313,0.1837666000064928,0.18899599998258054,5.641792297363281,,25,False
FD-Hash,pass,110000,110000,1.9303005999827292,1.9328857840015552,0.04670501323024297,1.882079100003466,1.9778096999798436,64.91071319580078,,25,False
FD-Hash,pass,1100000,1100000,19.692410800023936,19.69603859999799,0.12816012327043422,19.62648760000593,19.788047300011385,597.1002502441406,,25,False
Singleton-FullScan,pass,1100,1100,0.48736500000813976,0.49491763600031846,0.024010160737843973,0.4808936000044923,0.504326399997808,0.9091558456420898,,25,False
Singleton-FullScan,pass,11000,11000,48.89393000002019,49.96519982799655,3.6942133981119434,48.59821309999097,49.96914080000715,2.657541275024414,,25,False
Singleton-FullScan,pass,110000,110000,TO,TO,,,,,,5,True
Singleton-FullScan,pass,1100000,1100000,TO,TO,,,,,,5,True
